Collection,SKU,Image,Barcode ,Products Name (TH),Products name (Eng),ราคาขายแนะนำ,RSP,ราคาทุน,Color ,Size,"Weight (G.)
น้ำหนัก","Width (Cm.)
กว้าง","Lenght (Cm.)
ยาว","height (Cm.)
สูง","ราคาทุนก่อน
VAT ",Vat 7%,"ราคาทุนรวม 
VAT ","Price before
VAT (USD)",Vat 7%,"Price 
VAT included (USD)","GP%
MOQ :  
30-50","ราคาทุนก่อน
VAT ",Vat 7%,"ราคาทุนรวม 
VAT ","Price before
VAT (USD)",Vat 7%,"Price 
VAT included (USD)","GP%
MOQ :  
51-100","ราคาทุนก่อน
VAT ",Vat 7%,"ราคาทุนรวม 
VAT ","Price before
VAT (USD)",Vat 7%,"Price 
VAT included (USD)","GP%
MOQ :  
101",Categories,Sub Category,Description (ภาษาไทย),Description,Ratings,"Shelf Life 
(Year)"
,OTS-08-4XLC,,8859771519080,"เสื้อสัตว์เลี้ยง - เสื้อคู่ผ้ามัดย้อมภาษาอังกฤษ - Always on Vacay สีน้ำเงิน, Size 4XL","Tie-dye T-shirt english version for pet-Alway on Vacay Blue,Size 4XL",390.00,11.99,127.27,Blue,4XL,144,44.0,50.0,50,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,,,3,2
,OTS-07-00MH,,8859771519097,"เสื้อคน - เสื้อคู่ผ้ามัดย้อมภาษาอังกฤษ - Workaholic สีม่วง, Size M",Tie-dye T-shirt english version for human,690.00,19.99,203.30,Purple,M,140,87.0,56.0,56.0,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,"New collection เสื้อคู่มัดย้อม เสื้อคู่คนXสัตว์เลี้ยง เสื้อมัดย้อม สกรีนลาย ver.eng
เนื้อผ้าเย็น ไม่ยับง่าย สีสันสดใส สีไม่ตกค่ะ
เสื้อมัดย้อมสกรีนลายอินเตอร์ กับคำคู่สุดเก๋ เหมาะกับคนและสัตว์เลี้ยง

สกรีนลาย(เฉพาะเสื้อสัตว์เลี้ยง)

-Workaholic
-Work Pay Repeat
-Pawfect
-Need Vacay
ไซซ์สินค้าเช็คบนภาพสินค้าได้เลยค่ะ
📍 ราคาส่ง ราคาพิเศษ ทักแชทมาได้ค่ะ ","""i Anleash your inner artist and elevate your wardrobe with our Vibrant Human Tie-Dye Shirt Collection. Each shirt is a unique masterpiece, meticulously crafted to bring a burst of color and individuality to your everyday style. Available in 9 stunning iterations, there's a perfect design for every mood and occasion.

Key Features:

Handcrafted Excellence: Each shirt is hand-dyed, ensuring no two are exactly alike. Experience the true essence of bespoke fashion.

Premium Quality Fabric: Made from 100% high-quality cotton, these shirts are soft, breathable, and durable, providing all-day comfort.

Vibrant Colors: Our shirts feature a spectrum of rich, eye-catching colors that won't fade, thanks to our superior dyeing process.

Eco-Friendly Dye: We use environmentally friendly, non-toxic dyes to ensure safety and sustainability.

Unisex Fit: Designed to fit all body types, our shirts offer a relaxed, casual fit that flatters everyone.

Versatile Style: Perfect for casual outings, music festivals, beach trips, or simply adding a splash of color to your everyday look.

Easy Care: Machine washable for your convenience. These shirts retain their vibrant hues and softness wash after wash.

Available Sizes: Offered in a range of sizes from XS to XXL to ensure the perfect fit for everyone.

Exclusive Designs: Choose from 8 distinct tie-dye patterns, each named after an inspiring theme:
-Workaholic
-Work Pay Repeat
-Pawfect
-Need Vacay

























",3,2
,OTS-07-00LH,,8859771519103,"เสื้อคน - เสื้อคู่ผ้ามัดย้อมภาษาอังกฤษ - Workaholic สีม่วง, Size L",Tie-dye T-shirt english version for human,690.00,19.99,203.30,Purple,L,180,102.0,64.0,64.0,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,3,2
,OTS-07-0XLH,,8859771519110,"เสื้อคน - เสื้อคู่ผ้ามัดย้อมภาษาอังกฤษ - Workaholic สีม่วง, Size XL",Tie-dye T-shirt english version for human,690.00,19.99,203.30,Purple,XL,230,112.0,69.0,69.0,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,3,2
,OTS-07-3XLH,,8859771519127,"เสื้อคน - เสื้อคู่ผ้ามัดย้อมภาษาอังกฤษ - Workaholic สีม่วง, Size 3XL",Tie-dye T-shirt english version for human,690.00,19.99,203.30,Purple,3XL,290,130.0,76.0,76.0,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,3,2
,OTS-07-4XLH,,8859771519134,"เสื้อคน - เสื้อคู่ผ้ามัดย้อมภาษาอังกฤษ - Workaholic สีม่วง, Size 4XL",Tie-dye T-shirt english version for human,690.00,19.99,203.30,Purple,4XL,340,140.0,81.0,81.0,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,3,2
,OTS-07-00MF,,8859771519141,"เสื้อคน - เสื้อคู่ผ้ามัดย้อมภาษาอังกฤษ - Work Pay Repeat สีเหลือง, Size M",Tie-dye T-shirt english version for human,690.00,19.99,203.30,Yellow,M,140,87.0,56.0,56.0,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,3,2
,OTS-07-00LF,,8859771519158,"เสื้อคน - เสื้อคู่ผ้ามัดย้อมภาษาอังกฤษ - Work Pay Repeat สีเหลือง, Size L",Tie-dye T-shirt english version for human,690.00,19.99,203.30,Yellow,L,180,102.0,64.0,64.0,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,3,2
,OTS-07-0XLF,,8859771519165,"เสื้อคน - เสื้อคู่ผ้ามัดย้อมภาษาอังกฤษ - Work Pay Repeat สีเหลือง, Size XL",Tie-dye T-shirt english version for human,690.00,19.99,203.30,Yellow,XL,230,112.0,69.0,69.0,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,3,2
,OTS-07-3XLF,,8859771519172,"เสื้อคน - เสื้อคู่ผ้ามัดย้อมภาษาอังกฤษ - Work Pay Repeat สีเหลือง, Size 3XL",Tie-dye T-shirt english version for human,690.00,19.99,203.30,Yellow,3XL,290,130.0,76.0,76.0,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,3,2
,OTS-07-4XLF,,8859771519189,"เสื้อคน - เสื้อคู่ผ้ามัดย้อมภาษาอังกฤษ - Work Pay Repeat สีเหลือง, Size 4XL",Tie-dye T-shirt english version for human,690.00,19.99,203.30,Yellow,4XL,340,140.0,81.0,81.0,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,3,2
,OTS-07-00MR,,8859771519196,"เสื้อคน - เสื้อคู่ผ้ามัดย้อมภาษาอังกฤษ - Pawfect สีชมพูบานเย็น, Size M",Tie-dye T-shirt english version for human,690.00,19.99,203.30,fuchsia pink,M,140,87.0,56.0,56.0,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,3,2
,OTS-07-00LR,,8859771519202,"เสื้อคน - เสื้อคู่ผ้ามัดย้อมภาษาอังกฤษ - Pawfect สีชมพูบานเย็น, Size L",Tie-dye T-shirt english version for human,690.00,19.99,203.30,fuchsia pink,L,180,102.0,64.0,64.0,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,3,2
,OTS-07-0XLR,,8859771519219,"เสื้อคน - เสื้อคู่ผ้ามัดย้อมภาษาอังกฤษ - Pawfect สีชมพูบานเย็น, Size XL",Tie-dye T-shirt english version for human,690.00,19.99,203.30,fuchsia pink,XL,230,112.0,69.0,69.0,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,3,2
,OTS-07-3XLR,,8859771519226,"เสื้อคน - เสื้อคู่ผ้ามัดย้อมภาษาอังกฤษ - Pawfect สีชมพูบานเย็น, Size 3XL",Tie-dye T-shirt english version for human,690.00,19.99,203.30,fuchsia pink,3XL,290,130.0,76.0,76.0,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,3,2
,OTS-07-4XLR,,8859771519233,"เสื้อคน - เสื้อคู่ผ้ามัดย้อมภาษาอังกฤษ - Pawfect สีชมพูบานเย็น, Size 4XL",Tie-dye T-shirt english version for human,690.00,19.99,203.30,fuchsia pink,4XL,340,140.0,81.0,81.0,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,3,2
,OTS-07-00MC,,8859771519240,"เสื้อคน - เสื้อคู่ผ้ามัดย้อมภาษาอังกฤษ - Need Vacay สีน้ำเงิน, Size M",Tie-dye T-shirt english version for human,690.00,19.99,203.30,Blue,M,140,87.0,56.0,56.0,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,3,2
,OTS-07-00LC,,8859771519257,"เสื้อคน - เสื้อคู่ผ้ามัดย้อมภาษาอังกฤษ - Need Vacay สีน้ำเงิน, Size L",Tie-dye T-shirt english version for human,690.00,19.99,203.30,Blue,L,180,102.0,64.0,64.0,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,3,2
,OTS-07-0XLC,,8859771519264,"เสื้อคน - เสื้อคู่ผ้ามัดย้อมภาษาอังกฤษ - Need Vacay สีน้ำเงิน, Size XL",Tie-dye T-shirt english version for human,690.00,19.99,203.30,Blue,XL,230,112.0,69.0,69.0,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,3,2
,OTS-07-3XLC,,8859771519271,"เสื้อคน - เสื้อคู่ผ้ามัดย้อมภาษาอังกฤษ - Need Vacay สีน้ำเงิน, Size 3XL",Tie-dye T-shirt english version for human,690.00,19.99,203.30,Blue,3XL,290,130.0,76.0,76.0,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,3,2
,OTS-07-4XLC,,8859771519288,"เสื้อคน - เสื้อคู่ผ้ามัดย้อมภาษาอังกฤษ - Need Vacay สีน้ำเงิน, Size 4XL",Tie-dye T-shirt english version for human,690.00,19.99,203.30,Blue,4XL,340,140.0,81.0,81.0,483.64,33.86,517.5,13.99,0.98,14.97,25%,451.40,31.60,483.00,12.90,0.90,13.8,30%,419.16,29.34,448.5,11.98,0.84,12.8,35%,Shirt,,,,3,2
"Happy Paradise
Hawaii Couple Pet and
Parents Shirt(Discontinued)",OSH-02-003T,,8859771519295,"เสื้อหมาแมว - เสื้อคู่ฮาวาย Happy Paradise - สีครีม, เบอร์ 3","Happy Paradise Hawaii shirt for Pet-Cream, 3 ",390.00,11.99,84.20,Cream,เบอร์ 3,10,43.0,19.0,29,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,"1. เสื้อผลิตมาจากผ้าที่ระบายอากาศ สวมใส่สบาย ไม่ร้อน
2. เนื้อผ้ามีน้ำหนักเบา สวมใส่ง่าย ไม่อึดอัด
3. เปิดสวมใส่เสื้อด้วยเวลโก้เทป(เทปตีนตุ๊กแก) ทำให้ง่ายต่อการสวมใส่","1. The shirt is made from breathable fabric, comfortable to wear, not hot.
2. The fabric is lightweight, easy to wear, not uncomfortable.
3. Open the shirt with Velco tape (velcro tape), making it easy to put on.",5,2
,OSH-02-005T,,8859771519301,"เสื้อหมาแมว - เสื้อคู่ฮาวาย Happy Paradise - สีครีม, เบอร์ 5","Happy Paradise Hawaii shirt for Pet-Cream, 5",390.00,11.99,84.20,Cream,เบอร์ 5,30,54.0,21.0,33,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,,"1. The shirt is made from breathable fabric, comfortable to wear, not hot.
2. The fabric is lightweight, easy to wear, not uncomfortable.
3. Open the shirt with Velco tape (velcro tape), making it easy to put on.",5,2
,OSH-02-007T,,8859771519318,"เสื้อหมาแมว - เสื้อคู่ฮาวาย Happy Paradise - สีครีม, เบอร์ 7","Happy Paradise Hawaii shirt for Pet-Cream, 7",390.00,11.99,84.20,Cream,เบอร์ 7,50,64.0,24.0,38,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,,"1. The shirt is made from breathable fabric, comfortable to wear, not hot.
2. The fabric is lightweight, easy to wear, not uncomfortable.
3. Open the shirt with Velco tape (velcro tape), making it easy to put on.",5,2
,OSH-02-009T,,8859771519325,"เสื้อหมาแมว - เสื้อคู่ฮาวาย Happy Paradise - สีครีม, เบอร์ 9","Happy Paradise Hawaii shirt for Pet-Cream, 9",390.00,11.99,84.20,Cream,เบอร์ 9,60,74.0,26.0,44,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,,"1. The shirt is made from breathable fabric, comfortable to wear, not hot.
2. The fabric is lightweight, easy to wear, not uncomfortable.
3. Open the shirt with Velco tape (velcro tape), making it easy to put on.",5,2
,OSH-02-012T,,8859771519332,"เสื้อหมาแมว - เสื้อคู่ฮาวาย Happy Paradise - สีครีม, เบอร์ 12","Happy Paradise Hawaii shirt for Pet-Cream, 12",390.00,11.99,123.45,Cream,เบอร์ 12,90,87.0,31.0,54,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,,"1. The shirt is made from breathable fabric, comfortable to wear, not hot.
2. The fabric is lightweight, easy to wear, not uncomfortable.
3. Open the shirt with Velco tape (velcro tape), making it easy to put on.",5,2
,OSH-02-014T,,8859771519349,"เสื้อหมาแมว - เสื้อคู่ฮาวาย Happy Paradise - สีครีม, เบอร์ 14","Happy Paradise Hawaii shirt for Pet-Cream, 14",390.00,11.99,123.45,Cream,เบอร์ 14,110,101.0,33.0,61,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,,"1. The shirt is made from breathable fabric, comfortable to wear, not hot.
2. The fabric is lightweight, easy to wear, not uncomfortable.
3. Open the shirt with Velco tape (velcro tape), making it easy to put on.",5,2
,OSH-02-016T,,8859771519356,"เสื้อหมาแมว - เสื้อคู่ฮาวาย Happy Paradise - สีครีม, เบอร์ 16","Happy Paradise Hawaii shirt for Pet-Cream, 16",390.00,11.99,123.45,Cream,เบอร์ 16,130,115.0,36.0,64,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,,"1. The shirt is made from breathable fabric, comfortable to wear, not hot.
2. The fabric is lightweight, easy to wear, not uncomfortable.
3. Open the shirt with Velco tape (velcro tape), making it easy to put on.",5,2
,OSH-02-003I,,8859771519363,"เสื้อหมาแมว - เสื้อคู่ฮาวาย Happy Paradise - สีส้ม, เบอร์ 3","Happy Paradise Hawaii shirt for Pet-Orange, 3",390.00,11.99,84.20,Orange,เบอร์ 3,10,43.0,19.0,29,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,"1. เสื้อผลิตมาจากผ้าที่ระบายอากาศ สวมใส่สบาย ไม่ร้อน
2. เนื้อผ้ามีน้ำหนักเบา สวมใส่ง่าย ไม่อึดอัด
3. เปิดสวมใส่เสื้อด้วยเวลโก้เทป(เทปตีนตุ๊กแก) ทำให้ง่ายต่อการสวมใส่","1. The shirt is made from breathable fabric, comfortable to wear, not hot.
2. The fabric is lightweight, easy to wear, not uncomfortable.
3. Open the shirt with Velco tape (velcro tape), making it easy to put on.",5,2
,OSH-02-005I,,8859771519370,"เสื้อหมาแมว - เสื้อคู่ฮาวาย Happy Paradise - สีส้ม, เบอร์ 5","Happy Paradise Hawaii shirt for Pet-Orange, 5",390.00,11.99,84.20,Orange,เบอร์ 5,30,54.0,21.0,33,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,"1. เสื้อผลิตมาจากผ้าที่ระบายอากาศ สวมใส่สบาย ไม่ร้อน
2. เนื้อผ้ามีน้ำหนักเบา สวมใส่ง่าย ไม่อึดอัด
3. เปิดสวมใส่เสื้อด้วยเวลโก้เทป(เทปตีนตุ๊กแก) ทำให้ง่ายต่อการสวมใส่","1. The shirt is made from breathable fabric, comfortable to wear, not hot.
2. The fabric is lightweight, easy to wear, not uncomfortable.
3. Open the shirt with Velco tape (velcro tape), making it easy to put on.",5,2
,OSH-02-007I,,8859771519387,"เสื้อหมาแมว - เสื้อคู่ฮาวาย Happy Paradise - สีส้ม, เบอร์ 7","Happy Paradise Hawaii shirt for Pet-Orange, 7",390.00,11.99,84.20,Orange,เบอร์ 7,50,64.0,24.0,38,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,"1. เสื้อผลิตมาจากผ้าที่ระบายอากาศ สวมใส่สบาย ไม่ร้อน
2. เนื้อผ้ามีน้ำหนักเบา สวมใส่ง่าย ไม่อึดอัด
3. เปิดสวมใส่เสื้อด้วยเวลโก้เทป(เทปตีนตุ๊กแก) ทำให้ง่ายต่อการสวมใส่","1. The shirt is made from breathable fabric, comfortable to wear, not hot.
2. The fabric is lightweight, easy to wear, not uncomfortable.
3. Open the shirt with Velco tape (velcro tape), making it easy to put on.",5,2
,OSH-02-009I,,8859771519394,"เสื้อหมาแมว - เสื้อคู่ฮาวาย Happy Paradise - สีส้ม, เบอร์ 9","Happy Paradise Hawaii shirt for Pet-Orange, 9",390.00,11.99,84.20,Orange,เบอร์ 9,60,74.0,26.0,44,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,"1. เสื้อผลิตมาจากผ้าที่ระบายอากาศ สวมใส่สบาย ไม่ร้อน
2. เนื้อผ้ามีน้ำหนักเบา สวมใส่ง่าย ไม่อึดอัด
3. เปิดสวมใส่เสื้อด้วยเวลโก้เทป(เทปตีนตุ๊กแก) ทำให้ง่ายต่อการสวมใส่","1. The shirt is made from breathable fabric, comfortable to wear, not hot.
2. The fabric is lightweight, easy to wear, not uncomfortable.
3. Open the shirt with Velco tape (velcro tape), making it easy to put on.",5,2
,OSH-02-012I,,8859771519400,"เสื้อหมาแมว - เสื้อคู่ฮาวาย Happy Paradise - สีส้ม, เบอร์ 12","Happy Paradise Hawaii shirt for Pet-Orange, 12",390.00,11.99,123.45,Orange,เบอร์ 12,90,87.0,31.0,54,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,"1. เสื้อผลิตมาจากผ้าที่ระบายอากาศ สวมใส่สบาย ไม่ร้อน
2. เนื้อผ้ามีน้ำหนักเบา สวมใส่ง่าย ไม่อึดอัด
3. เปิดสวมใส่เสื้อด้วยเวลโก้เทป(เทปตีนตุ๊กแก) ทำให้ง่ายต่อการสวมใส่","1. The shirt is made from breathable fabric, comfortable to wear, not hot.
2. The fabric is lightweight, easy to wear, not uncomfortable.
3. Open the shirt with Velco tape (velcro tape), making it easy to put on.",5,2
,OSH-02-014I,,8859771519417,"เสื้อหมาแมว - เสื้อคู่ฮาวาย Happy Paradise - สีส้ม, เบอร์ 14","Happy Paradise Hawaii shirt for Pet-Orange, 14",390.00,11.99,123.45,Orange,เบอร์ 14,110,101.0,33.0,61,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,"1. เสื้อผลิตมาจากผ้าที่ระบายอากาศ สวมใส่สบาย ไม่ร้อน
2. เนื้อผ้ามีน้ำหนักเบา สวมใส่ง่าย ไม่อึดอัด
3. เปิดสวมใส่เสื้อด้วยเวลโก้เทป(เทปตีนตุ๊กแก) ทำให้ง่ายต่อการสวมใส่","1. The shirt is made from breathable fabric, comfortable to wear, not hot.
2. The fabric is lightweight, easy to wear, not uncomfortable.
3. Open the shirt with Velco tape (velcro tape), making it easy to put on.",5,2
,OSH-02-016I,,8859771519424,"เสื้อหมาแมว - เสื้อคู่ฮาวาย Happy Paradise - สีส้ม, เบอร์ 16","Happy Paradise Hawaii shirt for Pet-Orange, 16",390.00,11.99,123.45,Orange,เบอร์ 16,130,115.0,36.0,64,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,"1. เสื้อผลิตมาจากผ้าที่ระบายอากาศ สวมใส่สบาย ไม่ร้อน
2. เนื้อผ้ามีน้ำหนักเบา สวมใส่ง่าย ไม่อึดอัด
3. เปิดสวมใส่เสื้อด้วยเวลโก้เทป(เทปตีนตุ๊กแก) ทำให้ง่ายต่อการสวมใส่","1. The shirt is made from breathable fabric, comfortable to wear, not hot.
2. The fabric is lightweight, easy to wear, not uncomfortable.
3. Open the shirt with Velco tape (velcro tape), making it easy to put on.",5,2
,OSH-02-003C,,8859771519431,"เสื้อหมาแมว - เสื้อคู่ฮาวาย Happy Paradise - สีกรมท่า, เบอร์ 3","Happy Paradise Hawaii shirt for Pet-Navy Blue, 3 ",390.00,11.99,84.20,Navy Blue,เบอร์ 3,10,43.0,19.0,29,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,"1. เสื้อผลิตมาจากผ้าที่ระบายอากาศ สวมใส่สบาย ไม่ร้อน
2. เนื้อผ้ามีน้ำหนักเบา สวมใส่ง่าย ไม่อึดอัด
3. เปิดสวมใส่เสื้อด้วยเวลโก้เทป(เทปตีนตุ๊กแก) ทำให้ง่ายต่อการสวมใส่","1. The shirt is made from breathable fabric, comfortable to wear, not hot.
2. The fabric is lightweight, easy to wear, not uncomfortable.
3. Open the shirt with Velco tape (velcro tape), making it easy to put on.",5,2
,OSH-02-005C,,8859771519448,"เสื้อหมาแมว - เสื้อคู่ฮาวาย Happy Paradise - สีกรมท่า, เบอร์ 5","Happy Paradise Hawaii shirt for Pet-Navy Blue, 5",390.00,11.99,84.20,Navy Blue,เบอร์ 5,30,54.0,21.0,33,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,"1. เสื้อผลิตมาจากผ้าที่ระบายอากาศ สวมใส่สบาย ไม่ร้อน
2. เนื้อผ้ามีน้ำหนักเบา สวมใส่ง่าย ไม่อึดอัด
3. เปิดสวมใส่เสื้อด้วยเวลโก้เทป(เทปตีนตุ๊กแก) ทำให้ง่ายต่อการสวมใส่","1. The shirt is made from breathable fabric, comfortable to wear, not hot.
2. The fabric is lightweight, easy to wear, not uncomfortable.
3. Open the shirt with Velco tape (velcro tape), making it easy to put on.",5,2
,OSH-02-007C,,8859771519455,"เสื้อหมาแมว - เสื้อคู่ฮาวาย Happy Paradise - สีกรมท่า, เบอร์ 7","Happy Paradise Hawaii shirt for Pet-Navy Blue, 7",390.00,11.99,84.20,Navy Blue,เบอร์ 7,50,64.0,24.0,38,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,"1. เสื้อผลิตมาจากผ้าที่ระบายอากาศ สวมใส่สบาย ไม่ร้อน
2. เนื้อผ้ามีน้ำหนักเบา สวมใส่ง่าย ไม่อึดอัด
3. เปิดสวมใส่เสื้อด้วยเวลโก้เทป(เทปตีนตุ๊กแก) ทำให้ง่ายต่อการสวมใส่","1. The shirt is made from breathable fabric, comfortable to wear, not hot.
2. The fabric is lightweight, easy to wear, not uncomfortable.
3. Open the shirt with Velco tape (velcro tape), making it easy to put on.",5,2
,OSH-02-009C,,8859771519462,"เสื้อหมาแมว - เสื้อคู่ฮาวาย Happy Paradise - สีกรมท่า, เบอร์ 9","Happy Paradise Hawaii shirt for Pet-Navy Blue, 9",390.00,11.99,84.20,Navy Blue,เบอร์ 9,60,74.0,26.0,44,273.36,19.14,292.5,7.99,0.56,8.55,25%,255.14,17.86,273.00,7.29,0.51,7.8,30%,236.92,16.58,253.5,6.77,0.47,7.2,35%,Shirt,,"1. เสื้อผลิตมาจากผ้าที่ระบายอากาศ สวมใส่สบาย ไม่ร้อน
2. เนื้อผ้ามีน้ำหนักเบา สวมใส่ง่าย ไม่อึดอัด
3. เปิดสวมใส่เสื้อด้วยเวลโก้เทป(เทปตีนตุ๊กแก) ทำให้ง่ายต่อการสวมใส่","1. The shirt is made from breathable fabric, comfortable to wear, not hot.
2. The fabric is lightweight, easy to wear, not uncomfortable.
3. Open the shirt with Velco tape (velcro tape), making it easy to put on.",5,2
